nbPlayer, nbType, nbAddNode, nbDagNode, COS, timeSCAdd, timeSCDag, ADDSolved, DagSolved, canBeSolved, nbAddVar, nbAddCon, nbDagVar, nbDagCon, weight0, weight1
7, 2, 12, 22, 1.0, 4.0, 6.0, true, true, true, 36.0, 63.0, 66.0, 112.0, 2, 1
7, 2, 22, 35, 1.0, 13.0, 15.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 1, 3
7, 2, 27, 31, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2
7, 2, 16, 27, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2
7, 2, 9, 25, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 1
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4
7, 2, 25, 31, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4
7, 2, 12, 22, 1.0, 4.0, 6.0, true, true, true, 36.0, 63.0, 66.0, 112.0, 2, 1
7, 2, 11, 23, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 4
7, 2, 19, 27, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2
7, 2, 22, 35, 1.0, 12.0, 12.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 3, 1
7, 2, 19, 27, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2
7, 2, 22, 30, 2.0, 15.0, 14.0, true, true, true, 66.0, 111.0, 90.0, 150.0, 3, 1
7, 2, 25, 31, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2
7, 2, 16, 27, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 2
7, 2, 9, 21, 2.0, 2.0, 6.0, true, true, true, 27.0, 50.0, 63.0, 109.0, 1, 1
7, 2, 9, 22, 1.0, 3.0, 4.0, true, true, true, 27.0, 50.0, 66.0, 114.0, 1, 1
7, 2, 14, 23, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 4
7, 2, 11, 23, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 1
7, 2, 16, 26, 2.0, 3.0, 8.0, true, true, true, 48.0, 83.0, 78.0, 132.0, 2, 1
7, 2, 14, 23, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3
7, 2, 37, 44, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 4
7, 2, 12, 22, 1.0, 4.0, 7.0, true, true, true, 36.0, 63.0, 66.0, 112.0, 1, 2
7, 2, 21, 29, 2.0, 11.0, 16.0, true, true, true, 63.0, 106.0, 87.0, 145.0, 2, 2
7, 2, 25, 31, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3
7, 2, 9, 25, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 1
7, 2, 27, 34, 1.0, 12.0, 14.0, true, true, true, 81.0, 134.0, 102.0, 168.0, 4, 1
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 3
7, 2, 16, 28, 2.0, 22.0, 13.0, true, true, true, 48.0, 83.0, 84.0, 142.0, 1, 2
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 3
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3
7, 2, 22, 35, 1.0, 15.0, 15.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 3, 1
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 3
7, 2, 12, 22, 1.0, 3.0, 7.0, true, true, true, 36.0, 63.0, 66.0, 112.0, 1, 2
7, 2, 1, 8, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4
7, 2, 9, 21, 2.0, 3.0, 7.0, true, true, true, 27.0, 50.0, 63.0, 109.0, 1, 1
7, 2, 37, 44, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 4
7, 2, 22, 35, 1.0, 11.0, 12.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 1, 3
7, 2, 16, 27, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 1
7, 2, 1, 8, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 4
7, 2, 27, 34, 1.0, 12.0, 21.0, true, true, true, 81.0, 134.0, 102.0, 168.0, 4, 1
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 3
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4
7, 2, 16, 28, 2.0, 10.0, 14.0, true, true, true, 48.0, 83.0, 84.0, 142.0, 2, 1
7, 2, 34, 38, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 3
7, 2, 43, 46, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4
7, 2, 43, 46, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 4
7, 2, 19, 27, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 2
7, 2, 14, 23, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 1
7, 2, 27, 32, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 2, 3
7, 2, 16, 26, 2.0, 4.0, 8.0, true, true, true, 48.0, 83.0, 78.0, 132.0, 1, 2
7, 2, 22, 35, 1.0, 11.0, 12.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 1, 3
7, 2, 22, 30, 2.0, 12.0, 15.0, true, true, true, 66.0, 111.0, 90.0, 150.0, 3, 1
7, 2, 30, 37, 2.0, 28.0, 28.0, false, false, true, 90.0, 147.0, 111.0, 181.0, 2, 3
7, 2, 22, 35, 1.0, 11.0, 13.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 1, 3
7, 2, 27, 31, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 1
7, 2, 22, 35, 1.0, 10.0, 12.0, true, true, true, 66.0, 111.0, 105.0, 175.0, 1, 3
7, 2, 27, 32, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 2
7, 2, 25, 31, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2
7, 2, 16, 26, 2.0, 3.0, 7.0, true, true, true, 48.0, 83.0, 78.0, 132.0, 1, 2
7, 2, 16, 26, 2.0, 4.0, 7.0, true, true, true, 48.0, 83.0, 78.0, 132.0, 1, 2
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 4
7, 2, 22, 29, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2
7, 2, 22, 30, 2.0, 11.0, 14.0, true, true, true, 66.0, 111.0, 90.0, 150.0, 1, 3
7, 2, 27, 32, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 3
7, 2, 16, 28, 2.0, 13.0, 14.0, true, true, true, 48.0, 83.0, 84.0, 142.0, 1, 2
7, 2, 27, 32, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 3, 2
7, 2, 33, 36, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 4, 3
7, 2, 1, 8, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3
7, 2, 14, 23, 0.0, 0.0, 0.0, false, false, false, 0.0, 0.0, 0.0, 0.0, 1, 3
7, 2, 21, 29, 2.0, 9.0, 12.0, true, true, true, 63.0, 106.0, 87.0, 145.0, 2, 2
